id;titulo;descripcion;imagen;imagen_content_type;create_at
1;Refinado Card Acero;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-09-29T06:23:28
2;Negro;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-09-29T16:40:43
3;proporciona Consultor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-09-29T13:02:42
4;Universal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-09-29T01:00:01
5;Tanzania;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-09-29T07:19:56
6;deposit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-09-29T04:36:54
7;Granito schemas Money;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-09-29T11:30:44
8;Algodón;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-09-29T07:37:33
9;Extrarradio;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-09-29T23:09:05
10;withdrawal cross-platform JBOD;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-09-28T23:34:22
